datetime,DK1,SYS,SE1,SE2,SE3,SE4,FI,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,TromsÃ¸
2015-09-30,2216.8555555555554,1842.1944444444443,1925.486111111111,1928.638888888889,1956.1180555555557,2052.741666666667,3149.429166666667,2475.008333333333,1580.4388888888889,1588.1444444444444,1577.6277777777777,1994.2916666666667,1994.2916666666667,1946.2194444444444
2015-10-31,2644.4885906040267,2345.668456375839,2382.408053691275,2393.3892617449665,2535.268456375839,2679.69932885906,3148.6791946308726,2778.944966442953,2252.5422818791944,2253.896644295302,2241.869798657718,2383.9140939597314,2383.9140939597314,2194.5422818791944
2015-11-30,2465.623611111111,2351.848611111111,2281.501388888889,2281.501388888889,2460.8444444444444,2546.972222222222,3030.073611111111,2682.15,2297.126388888889,2265.3333333333335,2260.9569444444446,2270.4236111111113,2270.4236111111113,2181.6819444444445
2015-12-31,2011.6532258064517,1913.3870967741937,1881.247311827957,1881.247311827957,2046.8131720430108,2120.4489247311826,2744.3333333333335,2187.690860215054,1762.0336021505377,1740.5564516129032,1745.8790322580646,1873.1666666666667,1873.1666666666667,1752.3682795698924
2016-01-31,2641.0577956989246,2959.6424731182797,2899.9973118279568,2899.9973118279568,3135.5524193548385,3152.1223118279568,3622.05376344086,3137.244623655914,2989.1021505376343,2621.7513440860216,2608.923387096774,2890.59811827957,2890.59811827957,2757.6720430107525
2016-02-29,2191.219827586207,2252.4813218390805,2283.1508620689656,2283.1508620689656,2287.301724137931,2330.185344827586,2658.264367816092,2290.7859195402298,2181.0186781609195,2160.2974137931033,2139.1221264367814,2290.75,2290.75,2128.060344827586
2016-03-31,2203.2745625841185,2267.5033647375503,2330.3822341857335,2330.3822341857335,2332.3539703903098,2391.4118438761775,2827.2543741588156,2357.3553162853295,2245.0390309555855,2208.4818304172272,2188.8600269179005,2316.651413189771,2316.651413189771,2163.099596231494
2016-04-30,2377.075,2377.1,2429.2638888888887,2429.2638888888887,2431.413888888889,2434.2527777777777,2985.3277777777776,2436.6125,2333.420833333333,2314.8902777777776,2302.0625,2453.5375,2453.5375,2220.3416666666667
2016-05-31,2513.0013440860216,2465.8239247311826,2585.4435483870966,2585.4435483870966,2589.7741935483873,2592.1263440860216,3034.6599462365593,2661.891129032258,2368.4475806451615,2348.0940860215055,2338.494623655914,2547.97311827957,2547.97311827957,2344.7150537634407
2016-06-30,2808.425,2681.8416666666667,3339.7527777777777,3339.7527777777777,3341.488888888889,3347.2930555555554,3556.473611111111,3350.823611111111,2521.4430555555555,2448.5472222222224,2433.7166666666667,3058.6805555555557,3058.6805555555557,2472.8722222222223
